initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
hda-11	hda-11	WBGene00007953	Hist_deacetyl domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18477]
fzo-1	fzo-1	WBGene00001509	Transmembrane GTPase fzo-1  [Source:UniProtKB/Swiss-Prot;Acc:Q23424]
pbs-1	pbs-1	WBGene00003947	Proteasome subunit beta  [Source:UniProtKB/TrEMBL;Acc:Q966I8]
hsp-12.2	hsp-12.2	WBGene00002011	Heat shock protein Hsp-12.2  [Source:UniProtKB/Swiss-Prot;Acc:P34328]
cyp-8	cyn-8	WBGene00000884	Peptidyl-prolyl cis-trans isomerase 8  [Source:UniProtKB/Swiss-Prot;Acc:P52016]
lgg-3	lgg-3	WBGene00002982	Ubiquitin-like protein atg-12  [Source:UniProtKB/Swiss-Prot;Acc:Q10931]
Y49E10.4	Y49E10.4	WBGene00013030	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:176664]
hsp-12.1	hsp-12.1	WBGene00011906	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O01263]
sip-1	sip-1	WBGene00004798	Stress-induced protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20363]
rpt-1	rpt-1	WBGene00004501	26S proteasome regulatory subunit 7  [Source:UniProtKB/Swiss-Prot;Acc:Q18787]
bec-1	bec-1	WBGene00000247	Beclin homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q22592]
atg-18	atg-18	WBGene00018294	Autophagy-related protein 18  [Source:UniProtKB/Swiss-Prot;Acc:O16466]
hsp-110	hsp-110	WBGene00016250	Heat shock protein 110  [Source:UniProtKB/Swiss-Prot;Acc:Q05036]
cyn-6	cyn-6	WBGene00000882	Peptidyl-prolyl cis-trans isomerase 6  [Source:UniProtKB/Swiss-Prot;Acc:P52014]
stt-3	stt-3	WBGene00020437	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit stt-3  [Source:UniProtKB/Swiss-Prot;Acc:P46975]
unc-51	unc-51	WBGene00006786	Serine/threonine-protein kinase unc-51  [Source:UniProtKB/Swiss-Prot;Acc:Q23023]
aagr-3	aagr-3	WBGene00009583	DUF5110 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J7SA48]
pbs-3	pbs-3	WBGene00003949	Proteasome subunit beta type-3  [Source:UniProtKB/Swiss-Prot;Acc:Q23237]
Y73F8A.26	Y73F8A.26	WBGene00013531	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:178435]
Y39G10AR.9	Y39G10AR.9	WBGene00021467	WD_REPEATS_REGION domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q95XR3]
ymel-1	ymel-1	WBGene00010842	ATP-dependent zinc metalloprotease YME1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P54813]
atg-7	atg-7	WBGene00010882	Ubiquitin-like modifier-activating enzyme ATG7  [Source:UniProtKB/TrEMBL;Acc:G5EBK4]
ubc-26	ubc-26	WBGene00022450	UBC core domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A2K5ATR7]
lgg-2	lgg-2	WBGene00002981	Protein lgg;Protein lgg-2 [Source:NCBI gene (formerly Entrezgene);Acc:177989]
C47E12.3	C47E12.3	WBGene00008148	alpha-1,2-Mannosidase  [Source:UniProtKB/TrEMBL;Acc:Q18679]
hsp-16.49	hsp-16.49	WBGene00002020	Heat shock protein Hsp-16.48/Hsp-16.49  [Source:UniProtKB/Swiss-Prot;Acc:P02513]
uggt-1	uggt-1	WBGene00018604	UDP-Glucose Glycoprotein glucosylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q9GPA0]
F56F11.4	F56F11.4	WBGene00018991	AAA domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q8MXF1]
cyn-5	cyn-5	WBGene00000881	Peptidyl-prolyl cis-trans isomerase 5  [Source:UniProtKB/Swiss-Prot;Acc:P52013]
atg-5	atg-5	WBGene00022152	Autophagy-related protein 5  [Source:UniProtKB/Swiss-Prot;Acc:Q3V5I7]
F53A3.7	F53A3.7	WBGene00018723	DNL-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9TXQ4]
cyp-6	cyn-6	WBGene00000882	Peptidyl-prolyl cis-trans isomerase 6  [Source:UniProtKB/Swiss-Prot;Acc:P52014]
dnj-7	dnj-7	WBGene00001025	DNaJ domain (Prokaryotic heat shock protein)  [Source:UniProtKB/TrEMBL;Acc:P91189]
T28B8.4	T28B8.4	WBGene00012115	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:13181077]
C55B7.3	C55B7.3	WBGene00016942	Tyrosine-protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:Q966M2]
ubc-14	ubc-14	WBGene00006709	UBC core domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9U1Q1]
pdi-6	pdi-6	WBGene00015168	Protein disulfide-isomerase A6 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q11067]
pdi-2	pdi-2	WBGene00003963	Protein disulfide-isomerase 2  [Source:UniProtKB/Swiss-Prot;Acc:Q17770]
pdr-1	pdr-1	WBGene00003967	Ubiquitin-like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:V6CLJ6]
rpn-12	rpn-12	WBGene00004468	26S proteasome non-ATPase regulatory subunit 8  [Source:UniProtKB/Swiss-Prot;Acc:Q23449]
Y22D7AL.10	Y22D7AL.10	WBGene00021248	10 kDa heat shock protein, mitochondrial  [Source:UniProtKB/TrEMBL;Acc:Q965Q1]
atg-10	atg-10	WBGene00008427	Autophagy_act_C domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18991]
vdac-1	vdac-1	WBGene00019900	Probable voltage-dependent anion-selective channel  [Source:UniProtKB/Swiss-Prot;Acc:Q21752]
rpn-1	rpn-1	WBGene00004458	26S proteasome non-ATPase regulatory subunit 2  [Source:UniProtKB/TrEMBL;Acc:Q9GZH5]
dnj-20	dnj-20	WBGene00001038	DnaJ homolog dnj-20  [Source:UniProtKB/Swiss-Prot;Acc:Q8MPX3]
dnj-12	dnj-12	WBGene00001030	DNaJ domain (Prokaryotic heat shock protein)  [Source:UniProtKB/TrEMBL;Acc:O45502]
chn-1	chn-1	WBGene00000500	C-term of Hsp70-iNteracting protein (CHIP family); Hsp70-interacting protein  [Source:UniProtKB/TrEMBL;Acc:G5ECY6]
prx-1	prx-1	WBGene00004191	AAA domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A6ZJ67]
dnj-13	dnj-13	WBGene00001031	J domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q20774]
png-1	png-1	WBGene00010160	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase  [Source:UniProtKB/Swiss-Prot;Acc:Q9TW67]
pas-6	pas-6	WBGene00003927	Proteasome subunit alpha type-1  [Source:UniProtKB/Swiss-Prot;Acc:O44156]
rpn-3	rpn-3	WBGene00004460	26S proteasome non-ATPase regulatory subunit 3  [Source:UniProtKB/Swiss-Prot;Acc:Q04908]
hsp-16.2	hsp-16.2	WBGene00002016	Heat shock protein hsp-16.2  [Source:UniProtKB/Swiss-Prot;Acc:P06582]
dpy-11	dpy-11	WBGene00001073	Thioredoxin domain-containing protein; Thioredoxin-like protein DPY-11  [Source:UniProtKB/TrEMBL;Acc:G5EC91]
hsp-70	hsp-70	WBGene00002026	Heat Shock Protein  [Source:UniProtKB/TrEMBL;Acc:O45246]
sod-4	sod-4	WBGene00004933	Extracellular superoxide dismutase [Cu-Zn]  [Source:UniProtKB/Swiss-Prot;Acc:P34461]
dnj-28	dnj-28	WBGene00001046	DNaJ domain (Prokaryotic heat shock protein)  [Source:UniProtKB/TrEMBL;Acc:Q9N3E0]
cup-2	cup-2	WBGene00000843	Derlin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q93561]
rpn-9	rpn-9	WBGene00004465	26S proteasome non-ATPase regulatory subunit 13  [Source:UniProtKB/TrEMBL;Acc:Q22253]
let-70	let-70	WBGene00002344	Ubiquitin-conjugating enzyme E2 2  [Source:UniProtKB/Swiss-Prot;Acc:P35129]
F44E5.4	F44E5.4	WBGene00009691	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:174805]
ZK484.7	ZK484.7	WBGene00022753	Tyrosine-protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:O44901]
rpn-10	rpn-10	WBGene00004466	26S proteasome non-ATPase regulatory subunit 4  [Source:UniProtKB/Swiss-Prot;Acc:O61742]
C10G11.8	C10G11.8	WBGene00015688	AAA domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:P91025]
F10G8.1	F10G8.1	WBGene00008661	Tyrosine-protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:I2HAD7]
hip-1	hip-1	WBGene00011735	TPR_REGION domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EE04]
F43G6.4	F43G6.4	WBGene00009657	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:174810]
hsp-16.48	hsp-16.48	WBGene00002019	Heat shock protein Hsp-16.48/Hsp-16.49  [Source:UniProtKB/Swiss-Prot;Acc:P02513]
epg-9	epg-9	WBGene00022078	Autophagy-related protein 101  [Source:UniProtKB/TrEMBL;Acc:Q86DD3]
ribo-1	ribo-1	WBGene00020683	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9GZH4]
cct-3	cct-3	WBGene00018782	T-complex protein 1 subunit gamma  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4J8]
rpn-6.1	rpn-6.1	WBGene00004462	Probable 26S proteasome regulatory subunit rpn-6.1  [Source:UniProtKB/Swiss-Prot;Acc:Q20938]
rpn-7	rpn-7	WBGene00004463	26S proteasome non-ATPase regulatory subunit 6  [Source:UniProtKB/Swiss-Prot;Acc:Q20585]
psmd-9	psmd-9	WBGene00016623	Probable 26S proteasome non-ATPase regulatory subunit 9  [Source:UniProtKB/Swiss-Prot;Acc:Q10920]
Y105E8A.2	Y105E8A.2	WBGene00013667	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:173298]
F08H9.3	F08H9.3	WBGene00008591	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19227]
hsp-12.6	hsp-12.6	WBGene00002013	Heat shock protein 12.6; SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EE36]
F43G6.17	F43G6.17	WBGene00219378	Hist_deacetyl domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:I2HAG2]
hsp-4	hsp-4	WBGene00002008	Endoplasmic reticulum chaperone BiP homolog  [Source:UniProtKB/Swiss-Prot;Acc:P20163]
sel-11	sel-11	WBGene00004768	E3 ubiquitin-protein ligase hrd-1  [Source:UniProtKB/Swiss-Prot;Acc:Q20798]
cct-2	cct-2	WBGene00000378	T-complex protein 1 subunit beta  [Source:UniProtKB/Swiss-Prot;Acc:P47207]
Y66D12A.9	Y66D12A.9	WBGene00013435	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:176588]
ostd-1	ostd-1	WBGene00019693	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2  [Source:UniProtKB/Swiss-Prot;Acc:P91390]
cyp-3	cyn-3	WBGene00000879	Peptidyl-prolyl cis-trans isomerase 3  [Source:UniProtKB/Swiss-Prot;Acc:P52011]
rpt-3	rpt-3	WBGene00004503	Probable 26S proteasome regulatory subunit 6B  [Source:UniProtKB/Swiss-Prot;Acc:P46502]
hsp-3	hsp-3	WBGene00002007	Heat shock 70 kDa protein C  [Source:UniProtKB/Swiss-Prot;Acc:P27420]
gcn-2	gcn-2	WBGene00013591	Eukaryotic translation initiation factor 2-alpha kinase gcn-2  [Source:UniProtKB/Swiss-Prot;Acc:D0Z5N4]
pas-3	pas-3	WBGene00003924	Proteasome subunit alpha type-4  [Source:UniProtKB/Swiss-Prot;Acc:Q9N599]
T24H7.2	T24H7.2	WBGene00020781	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:174033]
F08H9.4	F08H9.4	WBGene00008592	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19228]
cct-4	cct-4	WBGene00000379	T-complex protein 1 subunit delta  [Source:UniProtKB/Swiss-Prot;Acc:P47208]
cyp-7	cyn-7	WBGene00000883	Peptidyl-prolyl cis-trans isomerase 7  [Source:UniProtKB/Swiss-Prot;Acc:P52015]
enpl-1	enpl-1	WBGene00011480	Endoplasmin homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q22235]
cdc-48.1	cdc-48.1	WBGene00007352	Transitional endoplasmic reticulum ATPase homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:P54811]
ufd-1	ufd-1	WBGene00006733	Ubiquitin fusion degradation protein 1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q19584]
ubc-15	ubc-15	WBGene00006710	UBC core domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1T5HUL4]
F48E8.4	F48E8.4	WBGene00018611	PRKCSH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q09396]
C14B9.2	C14B9.2	WBGene00015752	Probable protein disulfide-isomerase A4  [Source:UniProtKB/Swiss-Prot;Acc:P34329]
hda-5	hda-5	WBGene00009663	Hist_deacetyl domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q8I4I9]
pdi-1	pdi-1	WBGene00003962	Protein disulfide-isomerase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q17967]
T28B8.3	T28B8.3	WBGene00012114	DUF3437 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:P91834]
ZK973.11	ZK973.11	WBGene00022836	Thioredoxin domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N4L6]
rpn-11	rpn-11	WBGene00004467	26S proteasome non-ATPase regulatory subunit 14  [Source:UniProtKB/Swiss-Prot;Acc:O76577]
sod-1	sod-1	WBGene00004930	Superoxide dismutase [Cu-Zn]  [Source:UniProtKB/Swiss-Prot;Acc:P34697]
pas-1	pas-1	WBGene00003922	Proteasome subunit alpha type-6  [Source:UniProtKB/Swiss-Prot;Acc:O17586]
ZC506.1	ZC506.1	WBGene00013919	alpha-1,2-Mannosidase  [Source:UniProtKB/TrEMBL;Acc:Q09641]
hsf-1	hsf-1	WBGene00002004	HSF_DOMAIN domain-containing protein; Heat shock transcription factor 1  [Source:UniProtKB/TrEMBL;Acc:G5EFT5]
F52C6.12	F52C6.12	WBGene00018669	
dad-1	dad-1	WBGene00000896	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad-1  [Source:UniProtKB/Swiss-Prot;Acc:P52872]
Y73B6BL.12	Y73B6BL.12	WBGene00022236	Thioredoxin domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9GUG7]
cdc-48.2	cdc-48.2	WBGene00008053	Transitional endoplasmic reticulum ATPase homolog 2  [Source:UniProtKB/Swiss-Prot;Acc:P54812]
mans-4	mans-4	WBGene00013881	alpha-1,2-Mannosidase  [Source:UniProtKB/TrEMBL;Acc:D3YT22]
hda-6	hda-6	WBGene00018319	Histone deacetylase 6  [Source:UniProtKB/Swiss-Prot;Acc:Q20296]
sel-1	sel-1	WBGene00004759	SEL-1; Suppressor/Enhancer of Lin-12  [Source:UniProtKB/TrEMBL;Acc:G5EFG0]
hsp-1	hsp-1	WBGene00002005	Heat shock protein hsp-1  [Source:UniProtKB/Swiss-Prot;Acc:P09446]
hsp-2	hsp-2	WBGene00002006	
rpt-4	rpt-4	WBGene00004504	Probable 26S proteasome regulatory subunit 10B  [Source:UniProtKB/Swiss-Prot;Acc:O17071]
hda-10	hda-10	WBGene00001838	Hist_deacetyl domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9U266]
hsp-16.41	hsp-16.41	WBGene00002018	Heat shock protein Hsp-16.41  [Source:UniProtKB/Swiss-Prot;Acc:P06581]
dnj-10	dnj-10	WBGene00001028	DnaJ homolog dnj-10  [Source:UniProtKB/Swiss-Prot;Acc:Q8TA83]
ruvb-2	ruvb-2	WBGene00020687	RuvB-like 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9GZH2]
rpt-2	rpt-2	WBGene00004502	Probable 26S proteasome regulatory subunit 4  [Source:UniProtKB/Swiss-Prot;Acc:O16368]
rpt-6	rpt-6	WBGene00004506	26S proteasome regulatory subunit 8  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTT9]
pdi-3	pdi-3	WBGene00003964	Protein disulfide-isomerase [Source:NCBI gene (formerly Entrezgene);Acc:172433]
cdc-37	cdc-37	WBGene00021097	Probable Hsp90 co-chaperone cdc37  [Source:UniProtKB/Swiss-Prot;Acc:O02108]
usp-14	usp-14	WBGene00006856	Ubiquitin carboxyl-terminal hydrolase 14  [Source:UniProtKB/Swiss-Prot;Acc:Q17361]
pas-5	pas-5	WBGene00003926	Proteasome subunit alpha type-5  [Source:UniProtKB/Swiss-Prot;Acc:Q95008]
F10C2.5	F10C2.5	WBGene00008646	alpha-1,2-Mannosidase  [Source:UniProtKB/TrEMBL;Acc:P90830]
atg-13	atg-13	WBGene00017045	Autophagy-related protein 13 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P34379]
cyp-5	cyn-5	WBGene00000881	Peptidyl-prolyl cis-trans isomerase 5  [Source:UniProtKB/Swiss-Prot;Acc:P52013]
npl-4.1	npl-4.1	WBGene00019120	Nuclear protein localization protein 4 homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:H2KYU6]
pbs-7	pbs-7	WBGene00003953	Proteasome subunit beta  [Source:UniProtKB/TrEMBL;Acc:P90868]
rpn-8	rpn-8	WBGene00004464	MPN domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O61792]
ubq-1	ubq-1	WBGene00006727	Polyubiquitin-A Ubiquitin Ubiquitin-related [Source:UniProtKB/Swiss-Prot;Acc:P0CG71]
aagr-4	aagr-4	WBGene00018682	Gal_mutarotas_2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O17352]
atg-2	atg-2	WBGene00019748	Autophagy-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q21480]
hsp-16.1	hsp-16.1	WBGene00002015	Heat shock protein Hsp-16.1/Hsp-16.11  [Source:UniProtKB/Swiss-Prot;Acc:P34696]
Y38E10A.8	Y38E10A.8	WBGene00012586	Protein kinase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9NAK3]
hsp-43	hsp-43	WBGene00002024	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:B0M0L8]
hda-1	hda-1	WBGene00001834	Histone deacetylase 1  [Source:UniProtKB/Swiss-Prot;Acc:O17695]
pas-2	pas-2	WBGene00003923	Proteasome subunit alpha type-2  [Source:UniProtKB/Swiss-Prot;Acc:Q27488]
rpn-5	rpn-5	WBGene00004461	PCI domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19324]
cul-6	cul-6	WBGene00000841	Cullin-6  [Source:UniProtKB/Swiss-Prot;Acc:Q21346]
dnj-21	dnj-21	WBGene00001039	Mitochondrial import inner membrane translocase subunit TIM14  [Source:UniProtKB/Swiss-Prot;Acc:P91454]
atg-9	atg-9	WBGene00020706	Autophagy-related protein 9  [Source:UniProtKB/TrEMBL;Acc:H2L0M4]
mans-3	mans-3	WBGene00020197	alpha-1,2-Mannosidase  [Source:UniProtKB/TrEMBL;Acc:Q22120]
atg-16.2	atg-16.2	WBGene00019427	Autophagic-related protein 16.2  [Source:UniProtKB/Swiss-Prot;Acc:Q09406]
drp-1	drp-1	WBGene00001093	Dynamin GTPase  [Source:UniProtKB/TrEMBL;Acc:Q8WQC9]
cul-1	cul-1	WBGene00000836	Cullin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17389]
M04D5.1	M04D5.1	WBGene00014807	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:13182108]
crt-1	crt-1	WBGene00000802	Calreticulin  [Source:UniProtKB/Swiss-Prot;Acc:P27798]
rpt-5	rpt-5	WBGene00004505	26S protease regulatory subunit 6A  [Source:UniProtKB/Swiss-Prot;Acc:O76371]
C14C10.5	C14C10.5	WBGene00007588	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:179726]
hsp-6	hsp-6	WBGene00002010	Heat shock protein hsp-6  [Source:UniProtKB/Swiss-Prot;Acc:P11141]
