initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
cct4	cct4	ENSXETG00000002227	chaperonin containing TCP1 subunit 4 [Source:Xenbase;Acc:XB-GENE-974483]
txndc11	txndc11	ENSXETG00000016620	thioredoxin domain containing 11 [Source:Xenbase;Acc:XB-GENE-5894288]
sod1	sod1	ENSXETG00000047863	superoxide dismutase 1 [Source:Xenbase;Acc:XB-GENE-1006488]
st13	st13	ENSXETG00000022971	ST13, Hsp70 interacting protein [Source:Xenbase;Acc:XB-GENE-1015302]
ddit3	ddit3	ENSXETG00000006245	DNA damage inducible transcript 3 [Source:Xenbase;Acc:XB-GENE-1011286]
ppid	ppid	ENSXETG00000019484	peptidylprolyl isomerase D (cyclophilin D) [Source:Xenbase;Acc:XB-GENE-855598]
psmb7	psmb7	ENSXETG00000042236	proteasome (prosome, macropain) subunit, beta type, 7 [Source:Xenbase;Acc:XB-GENE-946042]
ngly1	ngly1	ENSXETG00000041327	N-glycanase 1 [Source:Xenbase;Acc:XB-GENE-963941]
psmc2	psmc2	ENSXETG00000023127	proteasome 26S subunit, ATPase 2 [Source:Xenbase;Acc:XB-GENE-1000016]
ube2g2	ube2g2	ENSXETG00000018628	ubiquitin conjugating enzyme E2 G2 [Source:Xenbase;Acc:XB-GENE-954055]
MGC76266	rpn1	ENSXETG00000016175	ribophorin I [Source:Xenbase;Acc:XB-GENE-999954]
atf4	atf4	ENSXETG00000024806	activating transcription factor 4 [Source:Xenbase;Acc:XB-GENE-983841]
wipi1	wipi1	ENSXETG00000049497	WD repeat domain, phosphoinositide interacting 1 [Source:Xenbase;Acc:XB-GENE-5920753]
psmg3	psmg3	ENSXETG00000018122	proteasome (prosome, macropain) assembly chaperone 3 [Source:Xenbase;Acc:XB-GENE-996246]
tmx4	tmx4	ENSXETG00000026035	thioredoxin-related transmembrane protein 4 [Source:Xenbase;Acc:XB-GENE-992676]
derl1	derl1	ENSXETG00000023186	derlin 1 [Source:Xenbase;Acc:XB-GENE-1009211]
pdia3	pdia3	ENSXETG00000004650	protein disulfide isomerase family A member 3 [Source:Xenbase;Acc:XB-GENE-976328]
hdac8	hdac8	ENSXETG00000020527	histone deacetylase 8 [Source:Xenbase;Acc:XB-GENE-5863426]
tmx3	tmx3	ENSXETG00000015637	thioredoxin-related transmembrane protein 3 [Source:Xenbase;Acc:XB-GENE-946768]
hsp90ab1	hsp90ab1	ENSXETG00000010896 ENSXETG00000001482	heat shock protein 90kDa alpha family class B member 1 [Source:Xenbase;Acc:XB-GENE-495311]
gabarapl1	gabarapl1	ENSXETG00000016242	GABA(A) receptor-associated protein like 1 [Source:Xenbase;Acc:XB-GENE-946688]
psmd5	psmd5	ENSXETG00000019595 ENSXETG00000019997	proteasome 26S subunit, non-ATPase 5 [Source:Xenbase;Acc:XB-GENE-491782]
psmd14	psmd14	ENSXETG00000016202	proteasome 26S subunit, non-ATPase 14 [Source:Xenbase;Acc:XB-GENE-950703]
tmx1	tmx1	ENSXETG00000016489	thioredoxin-related transmembrane protein 1 [Source:Xenbase;Acc:XB-GENE-1015794]
psmd3	psmd3	ENSXETG00000018552	proteasome 26S subunit, non-ATPase 3 [Source:Xenbase;Acc:XB-GENE-958537]
mfn1	mfn1	ENSXETG00000007258	mitofusin 1 [Source:Xenbase;Acc:XB-GENE-998114]
ulk1	ulk1	ENSXETG00000002028	unc-51 like autophagy activating kinase 1 [Source:Xenbase;Acc:XB-GENE-492029]
dram1	dram1	ENSXETG00000027990	DNA damage regulated autophagy modulator 1 [Source:Xenbase;Acc:XB-GENE-489272]
gabarapl2	gabarapl2	ENSXETG00000003573	GABA(A) receptor-associated protein like 2 [Source:Xenbase;Acc:XB-GENE-952421]
psma6	psma6	ENSXETG00000025884	proteasome subunit alpha 6 [Source:Xenbase;Acc:XB-GENE-943786]
vdac2	vdac2	ENSXETG00000009865	voltage-dependent anion channel 2 [Source:Xenbase;Acc:XB-GENE-954839]
dnajc19	dnajc19	ENSXETG00000041484	DnaJ heat shock protein family (Hsp40) member C19 [Source:Xenbase;Acc:XB-GENE-5842912]
atf6	atf6	ENSXETG00000004747	activating transcription factor 6 [Source:Xenbase;Acc:XB-GENE-983814]
ptpn1	ptpn1	ENSXETG00000012288	protein tyrosine phosphatase non-receptor type 1 [Source:Xenbase;Acc:XB-GENE-950442]
psmd6	psmd6	ENSXETG00000006537	proteasome 26S subunit, non-ATPase 6 [Source:Xenbase;Acc:XB-GENE-974002]
derl2	derl2	ENSXETG00000009183	derlin 2 [Source:Xenbase;Acc:XB-GENE-5936600]
rtcb	rtcb	ENSXETG00000011523	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:NCBI gene (formerly Entrezgene);Acc:595066]
edem1	edem1	ENSXETG00000005217	ER degradation enhancing alpha-mannosidase like protein 1 [Source:Xenbase;Acc:XB-GENE-492908]
vdac3	vdac3	ENSXETG00000016789	voltage-dependent anion channel 3 [Source:Xenbase;Acc:XB-GENE-949888]
atg9a	atg9a	ENSXETG00000019294	autophagy related 9A [Source:Xenbase;Acc:XB-GENE-984232]
dnajc10	dnajc10	ENSXETG00000025050	DnaJ heat shock protein family (Hsp40) member C10 [Source:Xenbase;Acc:XB-GENE-980994]
yme1l1	yme1l1	ENSXETG00000004558	YME1 like 1 ATPase [Source:Xenbase;Acc:XB-GENE-1000059]
dnajc15	dnajc15	ENSXETG00000014585	DnaJ heat shock protein family (Hsp40) member C15 [Source:Xenbase;Acc:XB-GENE-5716026]
dnlz	dnlz	ENSXETG00000046519	DNL-type zinc finger [Source:Xenbase;Acc:XB-GENE-940250]
dnajb9	dnajb9	ENSXETG00000015752	DnaJ heat shock protein family (Hsp40) member B9 [Source:Xenbase;Acc:XB-GENE-493656]
hspa9	hspa9	ENSXETG00000008404	heat shock protein family A (Hsp70) member 9 [Source:Xenbase;Acc:XB-GENE-960228]
snx30	snx30	ENSXETG00000002230	sorting nexin family member 30 [Source:Xenbase;Acc:XB-GENE-944717]
hdac7	hdac7	ENSXETG00000010661	histone deacetylase 7 [Source:Xenbase;Acc:XB-GENE-488662]
erp44	erp44	ENSXETG00000013069	endoplasmic reticulum protein 44 [Source:Xenbase;Acc:XB-GENE-962188]
dnajc3	dnajc3	ENSXETG00000006458	DnaJ heat shock protein family (Hsp40) member C3 [Source:Xenbase;Acc:XB-GENE-997043]
psma4	psma4	ENSXETG00000008877	proteasome subunit alpha 4 [Source:Xenbase;Acc:XB-GENE-5837209]
ube3a	ube3a	ENSXETG00000024326	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome) [Source:Xenbase;Acc:XB-GENE-948557]
psme2	psme2	ENSXETG00000014616	proteasome activator subunit 2 [Source:Xenbase;Acc:XB-GENE-957036]
pdilt	pdilt	ENSXETG00000027573	protein disulfide isomerase-like, testis expressed [Source:Xenbase;Acc:XB-GENE-963740]
herpud1	herpud1	ENSXETG00000026099	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:Xenbase;Acc:XB-GENE-922358]
stt3b	stt3b	ENSXETG00000014491	STT3B, catalytic subunit of the oligosaccharyltransferase complex [Source:Xenbase;Acc:XB-GENE-969894]
tmx2	tmx2	ENSXETG00000026417	thioredoxin related transmembrane protein 2 [Source:Xenbase;Acc:XB-GENE-489478]
psmc3	psmc3	ENSXETG00000007916	proteasome 26S subunit, ATPase 3 [Source:Xenbase;Acc:XB-GENE-1009848]
hspa14	hspa14	ENSXETG00000009112	heat shock protein family A (Hsp70) member 14 [Source:Xenbase;Acc:XB-GENE-5932856]
eif2ak2	eif2ak2	ENSXETG00000025302	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:Xenbase;Acc:XB-GENE-1001011]
atg4a	atg4a	ENSXETG00000012854	autophagy related 4A cysteine peptidase [Source:Xenbase;Acc:XB-GENE-922674]
hdac5	hdac5	ENSXETG00000003365	histone deacetylase 5 [Source:Xenbase;Acc:XB-GENE-488749]
psme4	psme4	ENSXETG00000015195	proteasome activator subunit 4 [Source:Xenbase;Acc:XB-GENE-5841406]
psme1	psme1	ENSXETG00000014612	proteasome activator subunit 1 [Source:Xenbase;Acc:XB-GENE-974277]
ern2	ern2	ENSXETG00000010337	endoplasmic reticulum to nucleus signaling 2 [Source:Xenbase;Acc:XB-GENE-4594134]
cdc37	cdc37	ENSXETG00000011625	cell division cycle 37 [Source:Xenbase;Acc:XB-GENE-979269]
fkbp6	fkbp6	ENSXETG00000024716	FKBP prolyl isomerase family member 6 [Source:Xenbase;Acc:XB-GENE-942472]
psmd9	psmd9	ENSXETG00000003768	proteasome 26S subunit, non-ATPase 9 [Source:Xenbase;Acc:XB-GENE-5727784]
rb1cc1	rb1cc1	ENSXETG00000005678	RB1 inducible coiled-coil 1 [Source:Xenbase;Acc:XB-GENE-984583]
cct2	cct2	ENSXETG00000001410	chaperonin containing TCP1 subunit 2 [Source:Xenbase;Acc:XB-GENE-1006535]
txndc5	txndc5	ENSXETG00000020457	thioredoxin domain containing 5 [Source:Xenbase;Acc:XB-GENE-490945]
ero1l	ero1a	ENSXETG00000012205	endoplasmic reticulum oxidoreductase alpha [Source:Xenbase;Acc:XB-GENE-978124]
bag5	bag5	ENSXETG00000023051	BAG cochaperone 5 [Source:Xenbase;Acc:XB-GENE-957992]
map1lc3b	map1lc3b	ENSXETG00000046526	microtubule associated protein 1 light chain 3 beta [Source:NCBI gene (formerly Entrezgene);Acc:394972]
agr2	agr2	ENSXETG00000025625	anterior gradient 2, protein disulphide isomerase family member [Source:Xenbase;Acc:XB-GENE-971548]
atg13	atg13	ENSXETG00000001983	autophagy related 13 [Source:Xenbase;Acc:XB-GENE-960599]
psma5	psma5	ENSXETG00000025727	proteasome subunit alpha 5 [Source:Xenbase;Acc:XB-GENE-982653]
man1b1	man1b1	ENSXETG00000000402	mannosidase, alpha, class 1B, member 1 [Source:Xenbase;Acc:XB-GENE-5873781]
map1lc3c	map1lc3c	ENSXETG00000032112	fumarate hydratase [Source:Xenbase;Acc:XB-GENE-944116]
psmd10	psmd10	ENSXETG00000012853	proteasome 26S subunit, non-ATPase 10 [Source:Xenbase;Acc:XB-GENE-946051]
cct3	cct3	ENSXETG00000007748	chaperonin containing TCP1 subunit 3 [Source:Xenbase;Acc:XB-GENE-6250478]
psmg4	psmg4	ENSXETG00000036272	proteasome (prosome, macropain) assembly chaperone 4 [Source:Xenbase;Acc:XB-GENE-6044570]
eif2ak1	eif2ak1	ENSXETG00000024055	eukaryotic translation initiation factor 2 alpha kinase 1 [Source:Xenbase;Acc:XB-GENE-962479]
erp27	erp27	ENSXETG00000032403	endoplasmic reticulum protein 27 [Source:Xenbase;Acc:XB-GENE-6464220]
herpud2	herpud2	ENSXETG00000013111	HERPUD family member 2 [Source:Xenbase;Acc:XB-GENE-5806725]
txndc12	txndc12	ENSXETG00000039370	thioredoxin domain containing 12 (endoplasmic reticulum) [Source:Xenbase;Acc:XB-GENE-997973]
hsp90aa1.1	hsp90aa1.1	ENSXETG00000035813	heat shock protein 90kDa alpha family class A member 1 [Source:Xenbase;Acc:XB-GENE-495303]
psmb1	psmb1	ENSXETG00000008557	proteasome subunit beta 1 [Source:Xenbase;Acc:XB-GENE-970603]
hdac10	hdac10	ENSXETG00000031474	histone deacetylase 10 [Source:Xenbase;Acc:XB-GENE-5857298]
psma2	psma2	ENSXETG00000001853	proteasome subunit alpha 2 [Source:Xenbase;Acc:XB-GENE-964711]
vhl	vhl	ENSXETG00000001448	von Hippel-Lindau tumor suppressor [Source:Xenbase;Acc:XB-GENE-493997]
psmg1	psmg1	ENSXETG00000023735	proteasome (prosome, macropain) assembly chaperone 1 [Source:Xenbase;Acc:XB-GENE-494236]
vcp	vcp	ENSXETG00000025788	valosin containing protein [Source:Xenbase;Acc:XB-GENE-969573]
psma3	psma3	ENSXETG00000011978	proteasome subunit alpha 3 [Source:Xenbase;Acc:XB-GENE-976787]
psmb5	psmb5	ENSXETG00000026351	proteasome subunit beta 5 [Source:Xenbase;Acc:XB-GENE-975048]
hsp90b1	hsp90b1	ENSXETG00000005359	heat shock protein 90kDa beta family member 1 [Source:Xenbase;Acc:XB-GENE-494760]
erlec1	erlec1	ENSXETG00000015197	endoplasmic reticulum lectin 1 [Source:Xenbase;Acc:XB-GENE-989155]
lonp2	lonp2	ENSXETG00000008089	lon peptidase 2, peroxisomal [Source:Xenbase;Acc:XB-GENE-948726]
psmd7	psmd7	ENSXETG00000017884	proteasome 26S subunit, non-ATPase 7 [Source:Xenbase;Acc:XB-GENE-1005422]
psmc1	psmc1	ENSXETG00000015703	proteasome 26S subunit, ATPase 1 [Source:Xenbase;Acc:XB-GENE-950579]
pomp	pomp	ENSXETG00000026990 ENSXETG00000012306	proteasome maturation protein [Source:Xenbase;Acc:XB-GENE-5914496]
hsf2	hsf2	ENSXETG00000023290	heat shock transcription factor 2 [Source:Xenbase;Acc:XB-GENE-954977]
ero1lb	ero1a	ENSXETG00000012205	endoplasmic reticulum oxidoreductase alpha [Source:Xenbase;Acc:XB-GENE-978124]
ucp1	ucp1	ENSXETG00000014927	uncoupling protein 1 [Source:Xenbase;Acc:XB-GENE-963773]
becn1	becn1	ENSXETG00000012613	beclin 1, autophagy related [Source:Xenbase;Acc:XB-GENE-999318]
atg2b	atg2b	ENSXETG00000013953	autophagy related 2B [Source:Xenbase;Acc:XB-GENE-5763717]
atg16l1	atg16l1	ENSXETG00000013872	autophagy related 16 like 1 [Source:Xenbase;Acc:XB-GENE-1011170]
cul1	cul1	ENSXETG00000020148	cullin 1 [Source:Xenbase;Acc:XB-GENE-945766]
vdac1	vdac1	ENSXETG00000015952	voltage-dependent anion channel 1 [Source:Xenbase;Acc:XB-GENE-955063]
bag2	bag2	ENSXETG00000022850	BAG cochaperone 2 [Source:Xenbase;Acc:XB-GENE-966120]
sel1l	sel1l	ENSXETG00000010038	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:Xenbase;Acc:XB-GENE-973992]
map1lc3a	map1lc3a	ENSXETG00000019473	microtubule associated protein 1 light chain 3 alpha [Source:Xenbase;Acc:XB-GENE-941851]
psma7	psma7	ENSXETG00000001998	proteasome subunit alpha 7 [Source:Xenbase;Acc:XB-GENE-974596]
hspa8	hspa8	ENSXETG00000013038	heat shock protein family A (Hsp70) member 8 [Source:Xenbase;Acc:XB-GENE-955426]
pdia4	pdia4	ENSXETG00000017929	protein disulfide isomerase family A member 4 [Source:Xenbase;Acc:XB-GENE-5892157]
atg4b	atg4b	ENSXETG00000002981	autophagy related 4B, cysteine peptidase [Source:Xenbase;Acc:XB-GENE-967111]
fkbp8	fkbp8	ENSXETG00000023205	FKBP prolyl isomerase 8 [Source:Xenbase;Acc:XB-GENE-958351]
hspd1	hspd1	ENSXETG00000007509	heat shock protein family D (Hsp60) member 1 [Source:Xenbase;Acc:XB-GENE-980059]
adrm1	adrm1	ENSXETG00000002006	ADRM1 26S proteasome ubiquitin receptor [Source:Xenbase;Acc:XB-GENE-489445]
nploc4	nploc4	ENSXETG00000015038	NPL4 homolog, ubiquitin recognition factor [Source:Xenbase;Acc:XB-GENE-958208]
psmd2	psmd2	ENSXETG00000017286	proteasome 26S subunit ubiquitin receptor, non-ATPase 2 [Source:Xenbase;Acc:XB-GENE-972398]
atg3	atg3	ENSXETG00000002424	autophagy related 3 [Source:Xenbase;Acc:XB-GENE-953266]
calr	calr	ENSXETG00000007937	calreticulin [Source:Xenbase;Acc:XB-GENE-1018213]
nfs1	nfs1	ENSXETG00000007430	NFS1 cysteine desulfurase [Source:Xenbase;Acc:XB-GENE-1010917]
dnajc7	dnajc7	ENSXETG00000002295	DnaJ heat shock protein family (Hsp40) member C7 [Source:Xenbase;Acc:XB-GENE-946345]
tmem258	tmem258	ENSXETG00000027540	transmembrane protein 258 [Source:NCBI gene (formerly Entrezgene);Acc:448722]
hsf4	hsf4	ENSXETG00000030007	heat shock transcription factor 4 [Source:Xenbase;Acc:XB-GENE-22068524]
psmb8	psmb8	ENSXETG00000016592	proteasome subunit beta 8 [Source:Xenbase;Acc:XB-GENE-479064]
edem3	edem3	ENSXETG00000004541	ER degradation enhancer, mannosidase alpha-like 3 [Source:Xenbase;Acc:XB-GENE-5811499]
canx	canx	ENSXETG00000008408	calnexin [Source:Xenbase;Acc:XB-GENE-5735140]
tcp1	tcp1	ENSXETG00000038604	t-complex 1 [Source:Xenbase;Acc:XB-GENE-939843]
usp14	usp14	ENSXETG00000003152	ubiquitin specific peptidase 14 [Source:Xenbase;Acc:XB-GENE-971842]
MGC75624	pdia3	ENSXETG00000004650	protein disulfide isomerase family A member 3 [Source:Xenbase;Acc:XB-GENE-976328]
thul16	thul16	ENSXETG00000023308	thyroid hormone up-regulated protein 16) [Source:Xenbase;Acc:XB-GENE-486729]
wfs1	wfs1	ENSXETG00000035947	Wolfram syndrome 1 (wolframin) [Source:Xenbase;Acc:XB-GENE-978820]
nfe2l2	nfe2l2	ENSXETG00000001808	nuclear factor, erythroid 2 like 2 [Source:Xenbase;Acc:XB-GENE-943926]
psmb2	psmb2	ENSXETG00000009668	proteasome subunit beta 2 [Source:Xenbase;Acc:XB-GENE-946101]
ambra1	ambra1	ENSXETG00000001979	autophagy/beclin-1 regulator 1 [Source:Xenbase;Acc:XB-GENE-984578]
psmc6	psmc6	ENSXETG00000008628	proteasome 26S subunit, ATPase 6 [Source:Xenbase;Acc:XB-GENE-978099]
agr3	agr3	ENSXETG00000022793	anterior gradient 3, protein disulphide isomerase family member [Source:Xenbase;Acc:XB-GENE-950741]
dnaja2	dnaja2	ENSXETG00000024999	DnaJ heat shock protein family (Hsp40) member A2 [Source:Xenbase;Acc:XB-GENE-998337]
atg4c	atg4c	ENSXETG00000010838	autophagy related 4C, cysteine peptidase [Source:Xenbase;Acc:XB-GENE-941086]
dnaja1	dnaja1	ENSXETG00000024144	DnaJ heat shock protein family (Hsp40) member A1 [Source:Xenbase;Acc:XB-GENE-976936]
hdac3	hdac3	ENSXETG00000002708	histone deacetylase 3 [Source:Xenbase;Acc:XB-GENE-481106]
ppib	ppib	ENSXETG00000043380	peptidylprolyl isomerase B [Source:NCBI gene (formerly Entrezgene);Acc:549817]
syvn1	syvn1	ENSXETG00000023327	synoviolin 1 [Source:Xenbase;Acc:XB-GENE-1005361]
p4hb	p4hb	ENSXETG00000005405	prolyl 4-hydroxylase subunit beta [Source:Xenbase;Acc:XB-GENE-494070]
psmd13	psmd13	ENSXETG00000008827	proteasome 26S subunit, non-ATPase 13 [Source:Xenbase;Acc:XB-GENE-1005572]
ddost	ddost	ENSXETG00000019826	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic) [Source:Xenbase;Acc:XB-GENE-5784936]
atg5	atg5	ENSXETG00000008672	autophagy related 5 [Source:Xenbase;Acc:XB-GENE-1012765]
atg14	atg14	ENSXETG00000015718	autophagy related 14 [Source:Xenbase;Acc:XB-GENE-1000727]
hdac4	hdac4	ENSXETG00000004880	histone deacetylase 4 [Source:Xenbase;Acc:XB-GENE-488767]
sil1	sil1	ENSXETG00000038263	SIL1 nucleotide exchange factor [Source:Xenbase;Acc:XB-GENE-5898521]
sel1l3	sel1l3	ENSXETG00000000947	sel-1 suppressor of lin-12-like 3 [Source:Xenbase;Acc:XB-GENE-5891026]
MGC76321	psma6	ENSXETG00000025884	proteasome subunit alpha 6 [Source:Xenbase;Acc:XB-GENE-943786]
psmd1	psmd1	ENSXETG00000009522	proteasome 26S subunit, non-ATPase 1 [Source:Xenbase;Acc:XB-GENE-989959]
rpn2	rpn2	ENSXETG00000017317	ribophorin II [Source:Xenbase;Acc:XB-GENE-941830]
hspa4	hspa4	ENSXETG00000027138	heat shock protein family A (Hsp70) member 4 [Source:Xenbase;Acc:XB-GENE-952769]
ulk2	ulk2	ENSXETG00000032595	unc-51 like autophagy activating kinase 2 [Source:Xenbase;Acc:XB-GENE-6041491]
hspe1	hspe1	ENSXETG00000007510	heat shock protein family E (Hsp10) member 1 [Source:Xenbase;Acc:XB-GENE-963412]
psmb6	psmb6	ENSXETG00000034876	proteasome subunit beta 6 [Source:Xenbase;Acc:XB-GENE-6257763]
psmb4	psmb4	ENSXETG00000036566	proteasome subunit beta 4 [Source:Xenbase;Acc:XB-GENE-6453972]
mfn2	mfn2	ENSXETG00000013049	mitofusin 2 [Source:Xenbase;Acc:XB-GENE-480103]
edem2	edem2	ENSXETG00000007449	ER degradation enhancer, mannosidase alpha-like 2 [Source:Xenbase;Acc:XB-GENE-941890]
bag4	bag4	ENSXETG00000009003	BAG cochaperone 4 [Source:Xenbase;Acc:XB-GENE-1010831]
hspb2	hspb2	ENSXETG00000010175	heat shock protein family B (small) member 2 [Source:Xenbase;Acc:XB-GENE-940436]
pdia2	pdia2	ENSXETG00000012140	protein disulfide isomerase family A member 2 [Source:Xenbase;Acc:XB-GENE-5770794]
