initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
DGL1	DGL1	AT5G66680	dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48kDa subunit family protein [Source:NCBI gene (formerly Entrezgene);Acc:836801]
PBC1	PBC1	AT1G21720	proteasome beta subunit C1 [Source:NCBI gene (formerly Entrezgene);Acc:838776]
PBB1	PBB1	AT3G27430	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822364]
UBQ8	UBQ8	AT3G09790	ubiquitin 8 [Source:NCBI gene (formerly Entrezgene);Acc:820137]
AT3G26340	AT3G26340	AT3G26340	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822238]
APG5	APG5	AT5G17290	autophagy protein Apg5 family [Source:NCBI gene (formerly Entrezgene);Acc:831594]
PUMP1	PUMP1	AT3G54110	plant uncoupling mitochondrial protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:824578]
RPT6A	RPT6A	AT5G19990	regulatory particle triple-A ATPase 6A [Source:NCBI gene (formerly Entrezgene);Acc:832121]
ATG3	ATG3	AT5G61500	autophagy 3 (APG3) [Source:NCBI gene (formerly Entrezgene);Acc:836271]
LON2	LON2	AT5G47040	lon protease 2 [Source:NCBI gene (formerly Entrezgene);Acc:834750]
UBC34	UBC34	AT1G17280	ubiquitin-conjugating enzyme 34 [Source:NCBI gene (formerly Entrezgene);Acc:838300]
ATG8B	ATG8B	AT4G04620	Ubiquitin-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825794]
UBQ11	UBQ11	AT4G05050	ubiquitin 11 [Source:NCBI gene (formerly Entrezgene);Acc:825847]
PDIL1-2	PDIL1-2	AT1G77510	PDI-like 1-2 [Source:NCBI gene (formerly Entrezgene);Acc:844087]
PAD1	PAD1	AT3G51260	20S proteasome alpha subunit PAD1 [Source:NCBI gene (formerly Entrezgene);Acc:824289]
CHIP	CHIP	AT3G07370	carboxyl terminus of HSC70-interacting protein [Source:NCBI gene (formerly Entrezgene);Acc:819925]
HSP90.1	HSP90.1	AT5G52640	heat shock-like protein [Source:NCBI gene (formerly Entrezgene);Acc:835341]
CNX1	CNX1	AT5G61790	calnexin 1 [Source:NCBI gene (formerly Entrezgene);Acc:836301]
AT5G43710	AT5G43710	AT5G43710	Glycosyl hydrolase family 47 protein [Source:NCBI gene (formerly Entrezgene);Acc:834391]
AT5G20890	AT5G20890	AT5G20890	TCP-1/cpn60 chaperonin family protein [Source:NCBI gene (formerly Entrezgene);Acc:832213]
AT5G23540	AT5G23540	AT5G23540	Mov34/MPN/PAD-1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:832420]
ISU3	ISU3	AT4G04080	ISCU-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:825719]
RPN12a	RPN12a	AT1G64520	regulatory particle non-ATPase 12A [Source:NCBI gene (formerly Entrezgene);Acc:842760]
AT5G03340	AtCDC48C	AT5G03340	ATPase, AAA-type, CDC48 protein [Source:NCBI gene (formerly Entrezgene);Acc:831870]
STT3B	STT3B	AT1G34130	staurosporin and temperature sensitive 3-like b [Source:NCBI gene (formerly Entrezgene);Acc:840312]
AT5G50230	AT5G50230	AT5G50230	Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:835088]
TCP-1	TCP-1	AT3G20050	T-complex protein 1 alpha subunit [Source:NCBI gene (formerly Entrezgene);Acc:821544]
AT1G79210	AT1G79210	AT1G79210	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844262]
J2	J2	AT5G22060	DNAJ homologue 2 [Source:NCBI gene (formerly Entrezgene);Acc:832267]
RSW3	RSW3	AT5G63840	Glycosyl hydrolases family 31 protein [Source:NCBI gene (formerly Entrezgene);Acc:836504]
PAC1	PAC1	AT3G22110	20S proteasome alpha subunit C1 [Source:NCBI gene (formerly Entrezgene);Acc:821774]
LON1	LON1	AT5G26860	lon protease 1 [Source:NCBI gene (formerly Entrezgene);Acc:832744]
PDIL2-2	PDIL2-2	AT1G04980	PDI-like 2-2 [Source:NCBI gene (formerly Entrezgene);Acc:839355]
CSD1	CSD1	AT1G08830	copper/zinc superoxide dismutase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837405]
PAE1	PAE1	AT1G53850	20S proteasome alpha subunit E1 [Source:NCBI gene (formerly Entrezgene);Acc:841822]
AT5G02490	Hsp70-2	AT5G02490	Heat shock protein 70 (Hsp 70) family protein [Source:NCBI gene (formerly Entrezgene);Acc:831856]
AT3G12050	AT3G12050	AT3G12050	Aha1 domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:820379]
PBG1	PBG1	AT1G56450	20S proteasome beta subunit G1 [Source:NCBI gene (formerly Entrezgene);Acc:842098]
CPN10	CPN10	AT1G14980	chaperonin 10 [Source:NCBI gene (formerly Entrezgene);Acc:838063]
HDA2	HDA2	AT5G26040	histone deacetylase 2 [Source:NCBI gene (formerly Entrezgene);Acc:832673]
CRT1b	CRT1b	AT1G09210	calreticulin 1b [Source:NCBI gene (formerly Entrezgene);Acc:837441]
MNS3	MNS3	AT1G30000	alpha-mannosidase 3 [Source:NCBI gene (formerly Entrezgene);Acc:839879]
AT1G04810	AT1G04810	AT1G04810	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit [Source:NCBI gene (formerly Entrezgene);Acc:839409]
EBS1	EBS1	AT1G71220	EMS-MUTAGENIZED BRI1 SUPPRESSOR 1 [Source:NCBI gene (formerly Entrezgene);Acc:843462]
FKBP15-1	FKBP15-1	AT3G25220	FK506-binding protein 15 kD-1 [Source:NCBI gene (formerly Entrezgene);Acc:822115]
HSP81-2	HSP81-2	AT5G56030	heat shock protein 81-2 [Source:NCBI gene (formerly Entrezgene);Acc:835701]
AT4G19006	AT4G19006	AT4G19006	Proteasome component (PCI) domain protein [Source:NCBI gene (formerly Entrezgene);Acc:827638]
BIP1	BIP1	AT5G28540	heat shock protein 70 (Hsp 70) family protein [Source:NCBI gene (formerly Entrezgene);Acc:832950]
PBF1	PBF1	AT3G60820	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825253]
AT5G67630	AT5G67630	AT5G67630	P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836899]
ERO1	ERO1	AT1G72280	endoplasmic reticulum oxidoreductins 1 [Source:NCBI gene (formerly Entrezgene);Acc:843560]
HIP1	HIP1	AT4G22670	HSP70-interacting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:828363]
RPT4A	RPT4A	AT5G43010	regulatory particle triple-A ATPase 4A [Source:NCBI gene (formerly Entrezgene);Acc:834316]
AT1G73570	AT1G73570	AT1G73570	HCP-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843691]
mtHsc70-1	mtHsc70-1	AT4G37910	mitochondrial heat shock protein 70-1 [Source:NCBI gene (formerly Entrezgene);Acc:829947]
RPN1A	RPN1A	AT2G20580	26S proteasome regulatory subunit S2 1A [Source:NCBI gene (formerly Entrezgene);Acc:816580]
PDIL1-4	PDIL1-4	AT5G60640	PDI-like 1-4 [Source:NCBI gene (formerly Entrezgene);Acc:836185]
NFS1	NFS1	AT5G65720	nitrogen fixation S (NIFS)-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:836701]
PAG1	PAG1	AT2G27020	20S proteasome alpha subunit G1 [Source:NCBI gene (formerly Entrezgene);Acc:817244]
RPN10	RPN10	AT4G38630	regulatory particle non-ATPase 10 [Source:NCBI gene (formerly Entrezgene);Acc:830019]
SQN	SQN	AT2G15790	peptidyl-prolyl cis-trans isomerase / cyclophilin-40 (CYP40) / rotamase [Source:NCBI gene (formerly Entrezgene);Acc:816074]
AT2G20140	RPT2b	AT2G20140	AAA-type ATPase family protein [Source:NCBI gene (formerly Entrezgene);Acc:816533]
AT1G75990	AT1G75990	AT1G75990	PAM domain (PCI/PINT associated module) protein [Source:NCBI gene (formerly Entrezgene);Acc:843931]
UBP6	UBP6	AT1G51710	ubiquitin-specific protease 6 [Source:NCBI gene (formerly Entrezgene);Acc:841596]
AT3G59950	AT3G59950	AT3G59950	Peptidase family C54 protein [Source:NCBI gene (formerly Entrezgene);Acc:825165]
GFA2	GFA2	AT5G48030	gametophytic factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:834854]
DER2.1	DER2.1	AT4G21810	DERLIN-2.1 [Source:NCBI gene (formerly Entrezgene);Acc:828269]
AT2G40290	AT2G40290	AT2G40290	Eukaryotic translation initiation factor 2 subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:818621]
RPT1A	RPT1A	AT1G53750	regulatory particle triple-A 1A [Source:NCBI gene (formerly Entrezgene);Acc:841812]
ATG8D	ATG8D	AT2G05630	Ubiquitin-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:815112]
HSP60	HSP60	AT3G23990	heat shock protein 60 [Source:NCBI gene (formerly Entrezgene);Acc:821983]
