initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
Hsp60D	Hsp60D	FBgn0032525	Heat shock protein 60D
CG14715	CG14715	FBgn0037930	
Edem2	Edem2	FBgn0032480	ER degradation enhancer, mannosidase alpha-like 2
Gcn2	Gcn2	FBgn0019990	Gcn2
eff	eff	FBgn0011217	effete
CG10029	CG10029	FBgn0037498	
Pros28.1B	Prosalpha4T2	FBgn0017556	Proteasome alpha4 subunit, Testis-specific 2
Hsc70-3	Hsc70-3	FBgn0001218	Heat shock 70-kDa protein cognate 3
CG17139	CG17139	FBgn0260454	
pomp	Pomp	FBgn0032884	Pomp
CG5027	CG5027	FBgn0036579	
wbl	wbl	FBgn0004003	windbeutel
CHIP	Chi	FBgn0013764	Chip
pont	pont	FBgn0040078	pontin
CG7394	CG7394	FBgn0036173	
Hsc70-5	Hsc70-5	FBgn0001220	Heat shock protein cognate 5
Ero1L	Ero1L	FBgn0261274	Endoplasmic reticulum oxidoreductin-1-like
Rpt4	Rpt4	FBgn0028685	Regulatory particle triple-A ATPase 4
CG33303	CG33303	FBgn0053303	
REG	REG	FBgn0029133	Proteasome regulator gamma
Hsp27	Hsp27	FBgn0001226	Heat shock protein 27
Ost48	Ost48	FBgn0014868	Oligosaccharyltransferase 48kD subunit
CG2918	CG2918	FBgn0023529	
Lon	Lon	FBgn0036892	Lon protease
Hrd3	Hrd3	FBgn0028475	HMG-coA reductase degradation 3
Tpr2	Tpr2	FBgn0032586	Tetratricopeptide repeat protein 2
Pros54	Rpn10	FBgn0015283	Regulatory particle non-ATPase 10
Npl4	Npl4	FBgn0039348	Nuclear protein localization 4
Atg7	Atg7	FBgn0034366	Autophagy-related 7
Pros26	Prosbeta6	FBgn0002284	Proteasome beta6 subunit
CG8336	CG8336	FBgn0036020	
fzo	fzo	FBgn0011596	fuzzy onions
Prosbeta2R2	Prosbeta2R2	FBgn0037296	Proteasome beta2 subunit-related 2
Hdac3	HDAC3	FBgn0025825	Histone deacetylase 3
Hsp70Aa	Hsp70Aa	FBgn0013275	Heat-shock-protein-70Aa
CG7387	CG7387	FBgn0035852	
ninaA	ninaA	FBgn0002936	neither inactivation nor afterpotential A
Aut1	Atg3	FBgn0036813	Autophagy-related 3
CG7945	CG7945	FBgn0036505	
CG2887	CG2887	FBgn0030207	
Rpt3R	Rpt3R	FBgn0037742	Regulatory particle triple-A ATPase 3-related
Cnx99A	Cnx99A	FBgn0015622	Calnexin 99A
Gp93	Gp93	FBgn0039562	Glycoprotein 93
Atg6	Atg6	FBgn0264325	Autophagy-related 6
HDAC6	HDAC6	FBgn0026428	Histone deacetylase 6
stv	stv	FBgn0086708	starvin
Ire1	Ire1	FBgn0261984	Inositol-requiring enzyme-1
Prosbeta2	Prosbeta2	FBgn0023174	Proteasome beta2 subunit
Pngl	Pngl	FBgn0033050	PNGase-like
Hsp26	Hsp26	FBgn0001225	Heat shock protein 26
Xbp1	Xbp1	FBgn0021872	X box binding protein-1
Rpt1	Rpt1	FBgn0028687	Regulatory particle triple-A ATPase 1
HdacX	HDAC11	FBgn0051119	Histone deacetylase 11
Hsp22	Hsp22	FBgn0001223	Heat shock protein 22
Ufd1-like	Ufd1-like	FBgn0036136	Ubiquitin fusion-degradation 1-like
Hsp23	Hsp23	FBgn0001224	Heat shock protein 23
Pros26.4	Rpt2	FBgn0015282	Regulatory particle triple-A ATPase 2
OstStt3	Stt3B	FBgn0011336	Catalytic subunit 3B of the oligosaccharyltransferase complex
Hsp67Ba	Hsp67Ba	FBgn0001227	Heat shock gene 67Ba
CG3356	CG3356	FBgn0034989	
Hsc70-4	Hsc70-4	FBgn0266599	Heat shock protein cognate 4
shu	shu	FBgn0003401	shutdown
CG7409	CG7409	FBgn0035817	
CG17140	CG17140	FBgn0260453	
Prosbeta3	Prosbeta3	FBgn0026380	Proteasome beta3 subunit
Ubi-p63E	Ubi-p63E	FBgn0003943	Ubiquitin-63E
Atg12	Atg12	FBgn0036255	Autophagy-related 12
Atg18	Atg18a	FBgn0035850	Autophagy-related 18a
Prosbeta4R1	Prosbeta4R1	FBgn0031442	Proteasome beta4 subunit-related 1
T-cp1	CCT1	FBgn0003676	Chaperonin containing TCP1 subunit 1
CG9920	CG9920	FBgn0038200	
Hsp70Ab	Hsp70Ab	FBgn0013276	Heat-shock-protein-70Ab
Atg1	Atg1	FBgn0260945	Autophagy-related 1
Prosbeta1	Prosbeta1	FBgn0010590	Proteasome beta1 subunit
Prosalpha1	Prosalpha1	FBgn0263121	Proteasome alpha1 subunit
Atg5	Atg5	FBgn0029943	Autophagy-related 5
Prosalpha7	Prosalpha7	FBgn0023175	Proteasome alpha7 subunit
CG12010	CG12010	FBgn0035443	
ProsMA5	Prosalpha5	FBgn0016697	Proteasome alpha5 subunit
HIP-R	HIP-R	FBgn0029676	Hsc/Hsp70-interacting protein related
Hsp68	Hsp68	FBgn0001230	Heat shock protein 68
Edem1	Edem1	FBgn0023511	ER degradation enhancer, mannosidase alpha-like 1
HDAC3	HDAC3	FBgn0025825	Histone deacetylase 3
CG11700	CG11700	FBgn0029856	
Rpn11	Rpn11	FBgn0028694	Regulatory particle non-ATPase 11
Prosalpha3T	Prosalpha3T	FBgn0261395	Proteasome alpha3 subunit, Testis-specific
CG7182	CG7182	FBgn0035878	
Droj2	Droj2	FBgn0038145	DnaJ-like-2
Rpn6	Rpn6	FBgn0028689	Regulatory particle non-ATPase 6
Hsp70Bc	Hsp70Bc	FBgn0013279	Heat-shock-protein-70Bc
CG12321	CG12321	FBgn0038577	
Atg8b	Atg8b	FBgn0038539	Autophagy-related 8b
Hsp70Ba	Hsp70Ba	FBgn0013277	Heat-shock-protein-70Ba
Cctgamma	CCT3	FBgn0015019	Chaperonin containing TCP1 subunit 3
Prosalpha6T	Prosalpha6T	FBgn0032492	Proteasome alpha6 subunit, Testis-specific
Crc	crc	FBgn0000370	cryptocephal
CG10862	CG10862	FBgn0035455	
CG9588	CG9588	FBgn0038166	
rho-5	rho-5	FBgn0041723	rhomboid-5
HIP	HIP	FBgn0260484	Hsc/Hsp70-interacting protein
cnc	cnc	FBgn0262975	cap-n-collar
Rpt4R	Rpt4R	FBgn0036224	Regulatory particle triple-A ATPase 4-related
