initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
DAD1	DAD1	ENSG00000129562	defender against cell death 1 [Source:HGNC Symbol;Acc:HGNC:2664]
PSMC5	PSMC5	ENSG00000087191	proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]
HSF1	HSF1	ENSG00000185122 ENSG00000284774	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]
PSMA7	PSMA7	ENSG00000101182	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]
UGGT1	UGGT1	ENSG00000136731	UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]
TXNDC11	TXNDC11	ENSG00000153066	thioredoxin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28030]
RTCB	RTCB	ENSG00000100220	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:HGNC Symbol;Acc:HGNC:26935]
RPN2	RPN2	ENSG00000118705	ribophorin II [Source:HGNC Symbol;Acc:HGNC:10382]
VCP	VCP	ENSG00000165280	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]
PSMD1	PSMD1	ENSG00000173692	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]
PSMD3	PSMD3	ENSG00000108344	proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]
PAAF1	PAAF1	ENSG00000175575	proteasomal ATPase associated factor 1 [Source:HGNC Symbol;Acc:HGNC:25687]
ATG13	ATG13	ENSG00000175224	autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091]
ATG9B	ATG9B	ENSG00000181652	autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899]
STT3A	STT3A	ENSG00000134910	STT3 oligosaccharyltransferase complex catalytic subunit A [Source:HGNC Symbol;Acc:HGNC:6172]
HSPA5	HSPA5	ENSG00000044574	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]
HSPA14	HSPA14	ENSG00000187522	heat shock protein family A (Hsp70) member 14 [Source:HGNC Symbol;Acc:HGNC:29526]
HSPH1	HSPH1	ENSG00000120694	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]
PSMB2	PSMB2	ENSG00000126067	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]
PSMF1	PSMF1	ENSG00000125818	proteasome inhibitor subunit 1 [Source:HGNC Symbol;Acc:HGNC:9571]
PSMA1	PSMA1	ENSG00000129084	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]
PSMB9	PSMB9	ENSG00000242711 ENSG00000240065 ENSG00000240508 ENSG00000243067 ENSG00000240118 ENSG00000239836 ENSG00000243958 ENSG00000243594	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]
DNLZ	DNLZ	ENSG00000213221	DNL-type zinc finger [Source:HGNC Symbol;Acc:HGNC:33879]
DNAJC15	DNAJC15	ENSG00000120675	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]
HDAC6	HDAC6	ENSG00000094631	histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]
SIL1	SIL1	ENSG00000120725	SIL1 nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:24624]
WIPI2	WIPI2	ENSG00000157954	WD repeat domain, phosphoinositide interacting 2 [Source:HGNC Symbol;Acc:HGNC:32225]
ERN1	ERN1	ENSG00000178607	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]
ATF6	ATF6	ENSG00000118217	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]
PSMB1	PSMB1	ENSG00000008018 ENSG00000281184	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]
BECN1	BECN1	ENSG00000126581	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]
SOD1	SOD1	ENSG00000142168	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]
DNAJA2	DNAJA2	ENSG00000069345	DnaJ heat shock protein family (Hsp40) member A2 [Source:HGNC Symbol;Acc:HGNC:14884]
EIF2AK4	EIF2AK4	ENSG00000128829	eukaryotic translation initiation factor 2 alpha kinase 4 [Source:HGNC Symbol;Acc:HGNC:19687]
PSMG2	PSMG2	ENSG00000128789	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]
PSME4	PSME4	ENSG00000068878	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]
CUL1	CUL1	ENSG00000055130	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]
HSPB2	HSPB2	ENSG00000170276	heat shock protein family B (small) member 2 [Source:HGNC Symbol;Acc:HGNC:5247]
ATG7	ATG7	ENSG00000197548	autophagy related 7 [Source:HGNC Symbol;Acc:HGNC:16935]
DNAJC19	DNAJC19	ENSG00000205981	DnaJ heat shock protein family (Hsp40) member C19 [Source:HGNC Symbol;Acc:HGNC:30528]
ATG2A	ATG2A	ENSG00000110046	autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]
PDIA5	PDIA5	ENSG00000065485	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]
PSMG1	PSMG1	ENSG00000183527	proteasome assembly chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3043]
HDAC10	HDAC10	ENSG00000100429	histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128]
HYOU1	HYOU1	ENSG00000149428 ENSG00000280682	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]
PSMC4	PSMC4	ENSG00000013275 ENSG00000281221	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]
UBB	UBB	ENSG00000170315	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]
PSMB6	PSMB6	ENSG00000142507	proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]
MAN1B1	MAN1B1	ENSG00000177239	mannosidase alpha class 1B member 1 [Source:HGNC Symbol;Acc:HGNC:6823]
AHSA2	AHSA2P	ENSG00000173209	activator of HSP90 ATPase homolog 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:20437]
MFN2	MFN2	ENSG00000116688	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]
HSF4	HSF4	ENSG00000102878	heat shock transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:5227]
RUVBL1	RUVBL1	ENSG00000175792 ENSG00000284901	RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]
PSMD13	PSMD13	ENSG00000185627	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]
XBP1	XBP1	ENSG00000100219	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]
HSPA1B	HSPA1B	ENSG00000231555 ENSG00000212866 ENSG00000204388 ENSG00000224501 ENSG00000232804	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
PSMG3	PSMG3	ENSG00000157778	proteasome assembly chaperone 3 [Source:HGNC Symbol;Acc:HGNC:22420]
HDAC9	HDAC9	ENSG00000048052	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]
DNAJC3	DNAJC3	ENSG00000102580	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]
ADRM1	ADRM1	ENSG00000130706	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]
PSMD9	PSMD9	ENSG00000110801	proteasome 26S subunit, non-ATPase 9 [Source:HGNC Symbol;Acc:HGNC:9567]
UBE2G2	UBE2G2	ENSG00000184787	ubiquitin conjugating enzyme E2 G2 [Source:HGNC Symbol;Acc:HGNC:12483]
PDIA18	AGR3	ENSG00000173467	anterior gradient 3, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:24167]
HDAC5	HDAC5	ENSG00000108840	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]
PSMD14	PSMD14	ENSG00000115233	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]
PPID	PPID	ENSG00000171497	peptidylprolyl isomerase D [Source:HGNC Symbol;Acc:HGNC:9257]
ATG14	ATG14	ENSG00000126775	autophagy related 14 [Source:HGNC Symbol;Acc:HGNC:19962]
PDIA6	PDIA6	ENSG00000143870	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]
TMEM258	TMEM258	ENSG00000134825	transmembrane protein 258 [Source:HGNC Symbol;Acc:HGNC:1164]
FKBP4	FKBP4	ENSG00000004478	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]
ERO1A	ERO1A	ENSG00000197930	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]
DNAJB1	DNAJB1	ENSG00000132002	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
DERL3	DERL3	ENSG00000274437 ENSG00000099958	derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236]
PSMG4	PSMG4	ENSG00000180822	proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]
ULK1	ULK1	ENSG00000177169	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]
ULK2	ULK2	ENSG00000083290	unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]
HSPE1	HSPE1	ENSG00000115541	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]
EDEM1	EDEM1	ENSG00000134109	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]
CDC37	CDC37	ENSG00000105401	cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]
PSME3	PSME3	ENSG00000131467	proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]
NFS1	NFS1	ENSG00000244005	NFS1 cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]
PSMB3	PSMB3	ENSG00000277791 ENSG00000275903	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]
PSMC2	PSMC2	ENSG00000161057	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]
P3H3	P3H3	ENSG00000110811	prolyl 3-hydroxylase 3 [Source:HGNC Symbol;Acc:HGNC:19318]
GABARAPL1	GABARAPL1	ENSG00000139112	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]
HDAC7	HDAC7	ENSG00000061273	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]
FKBP5	FKBP5	ENSG00000096060	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]
