initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
CANX	CANX	ENSGALG00010016947	calnexin [Source:NCBI gene (formerly Entrezgene);Acc:416288]
PDIA3	PDIA3	ENSGALG00010000039	protein disulfide isomerase family A member 3 [Source:NCBI gene (formerly Entrezgene);Acc:373899]
HERPUD2	HERPUD2	ENSGALG00010019008	HERPUD family member 2 [Source:HGNC Symbol;Acc:HGNC:21915]
ATF4	ATF4	ENSGALG00010012407	activating transcription factor 4 [Source:NCBI gene (formerly Entrezgene);Acc:395693]
PSMD11	PSMD11	ENSGALG00010024133	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]
ATG9A	ATG9A	ENSGALG00010021444	autophagy related 9A [Source:NCBI gene (formerly Entrezgene);Acc:425722]
DNAJA3	DNAJA3	ENSGALG00010016623	DnaJ heat shock protein family (Hsp40) member A3 [Source:HGNC Symbol;Acc:HGNC:11808]
POMP	POMP	ENSGALG00010005060	proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]
DRAM1	DRAM1	ENSGALG00010011431	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]
DNAJB9	DNAJB9	ENSGALG00010001224	DnaJ heat shock protein family (Hsp40) member B9 [Source:NCBI gene (formerly Entrezgene);Acc:417783]
DNM1L	DNM1L	ENSGALG00010011130	dynamin 1 like [Source:NCBI gene (formerly Entrezgene);Acc:418132]
P4HB	P4HB	ENSGALG00010030104	prolyl 4-hydroxylase subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:374091]
HSP90B1	HSP90B1	ENSGALG00010010280	heat shock protein 90 beta family member 1 [Source:NCBI gene (formerly Entrezgene);Acc:374163]
BAG5	BAG5	ENSGALG00010015906	BCL2 associated athano 5 [Source:NCBI gene (formerly Entrezgene);Acc:423482]
WFS1	WFS1	ENSGALG00010011417	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]
TCP1	TCP1	ENSGALG00010004434	t-complex 1 [Source:NCBI gene (formerly Entrezgene);Acc:421586]
HERPUD1	HERPUD1	ENSGALG00010024370	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:NCBI gene (formerly Entrezgene);Acc:415644]
MAP1LC3A	MAP1LC3A	ENSGALG00010024665	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]
NFE2L2	NFE2L2	ENSGALG00010024107	nuclear factor, erythroid 2 like 2 [Source:NCBI gene (formerly Entrezgene);Acc:396014]
HSP90AB1	HSP90AB1	ENSGALG00010019591	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]
DNAJC7	DNAJC7	ENSGALG00010023076	DnaJ heat shock protein family (Hsp40) member C7 [Source:NCBI gene (formerly Entrezgene);Acc:428312]
HSF2	HSF2	ENSGALG00010012875	heat shock transcription factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:421724]
DNAJA1	DNAJA1	ENSGALG00010008149	DnaJ heat shock protein family (Hsp40) member A1 [Source:NCBI gene (formerly Entrezgene);Acc:427376]
CCT4	CCT4	ENSGALG00010018527	chaperonin containing TCP1 subunit 4 [Source:NCBI gene (formerly Entrezgene);Acc:395414]
MAP1LC3C	MAP1LC3C	ENSGALG00010008400	microtubule associated protein 1 light chain 3 gamma [Source:HGNC Symbol;Acc:HGNC:13353]
HSPB3	HSPB3	ENSGALG00010015006	heat shock protein family B (small) member 3 [Source:HGNC Symbol;Acc:HGNC:5248]
NGLY1	NGLY1	ENSGALG00010002464	N-glycanase 1 [Source:NCBI gene (formerly Entrezgene);Acc:420655]
PDIA4	PDIA4	ENSGALG00010008340	protein disulfide isomerase family A member 4 [Source:NCBI gene (formerly Entrezgene);Acc:420785]
ATG4C	ATG4C	ENSGALG00010024179	autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]
HSPA9	HSPA9	ENSGALG00010010262	heat shock protein family A (Hsp70) member 9 [Source:NCBI gene (formerly Entrezgene);Acc:416183]
UBE2D1	UBE2D1	ENSGALG00010009086	ubiquitin conjugating enzyme E2 D1 [Source:NCBI gene (formerly Entrezgene);Acc:423641]
ATG10	ATG10	ENSGALG00010006223	autophagy related 10 [Source:HGNC Symbol;Acc:HGNC:20315]
NPLOC4	NPLOC4	ENSGALG00010029515	NPL4 homolog, ubiquitin recognition factor [Source:HGNC Symbol;Acc:HGNC:18261]
UBE3C	UBE3C	ENSGALG00010024931	ubiquitin protein ligase E3C [Source:NCBI gene (formerly Entrezgene);Acc:420447]
PPIB	PPIB	ENSGALG00010023244	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]
ERP29	ERP29	ENSGALG00010025938	endoplasmic reticulum protein 29 [Source:NCBI gene (formerly Entrezgene);Acc:416882]
PSMD12	PSMD12	ENSGALG00010029202	proteasome 26S subunit, non-ATPase 12 [Source:NCBI gene (formerly Entrezgene);Acc:417425]
MAP1LC3B	MAP1LC3B	ENSGALG00010006953	microtubule associated protein 1 light chain 3 beta [Source:NCBI gene (formerly Entrezgene);Acc:427559]
DERL2	DERL2	ENSGALG00010029242	derlin 2 [Source:HGNC Symbol;Acc:HGNC:17943]
HSP90AA1	HSP90AA1	ENSGALG00010016869	heat shock protein 90 alpha family class A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:423463]
UFD1L	UFD1L	ENSGALG00010024439	ubiquitin fusion degradation 1 like (yeast) [Source:NCBI gene (formerly Entrezgene);Acc:374186]
EIF2AK3	EIF2AK3	ENSGALG00010016820	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]
FKBP6	FKBP6	ENSGALG00010029539	FKBP prolyl isomerase family member 6 (inactive) [Source:HGNC Symbol;Acc:HGNC:3722]
BAG4	BAG4	ENSGALG00010017798	BAG cochaperone 4 [Source:HGNC Symbol;Acc:HGNC:940]
UGGT2	UGGT2	ENSGALG00010005341	UDP-glucose glycoprotein glucosyltransferase 2 [Source:NCBI gene (formerly Entrezgene);Acc:418785]
PSMC6	PSMC6	ENSGALG00010018043	proteasome 26S subunit, ATPase 6 [Source:NCBI gene (formerly Entrezgene);Acc:423586]
TMX2	TMX2	ENSGALG00010026203	thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739]
UCP3	UCP3	ENSGALG00010002543	uncoupling protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:373896]
PSMB7	PSMB7	ENSGALG00010028440	proteasome subunit beta 7 [Source:NCBI gene (formerly Entrezgene);Acc:378915]
UBE3A	UBE3A	ENSGALG00010015520	ubiquitin protein ligase E3A [Source:HGNC Symbol;Acc:HGNC:12496]
SEL1L	SEL1L	ENSGALG00010006847	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]
ATG5	ATG5	ENSGALG00010013247	autophagy related 5 [Source:NCBI gene (formerly Entrezgene);Acc:421784]
TMX4	TMX4	ENSGALG00010018453	thioredoxin related transmembrane protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:416729]
WIPI1	WIPI1	ENSGALG00010029396	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]
PSMA4	PSMA4	ENSGALG00010024195	proteasome subunit alpha 4 [Source:NCBI gene (formerly Entrezgene);Acc:415357]
HDAC4	HDAC4	ENSGALG00010013697	histone deacetylase 4 [Source:NCBI gene (formerly Entrezgene);Acc:374207]
PDIA2	PDIA2	ENSGALG00010016914	protein disulfide isomerase family A member 2 [Source:HGNC Symbol;Acc:HGNC:14180]
HSPA4	HSPA4	ENSGALG00010013805	heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]
DERL1	DERL1	ENSGALG00010009612	derlin 1 [Source:NCBI gene (formerly Entrezgene);Acc:420350]
PSMA3	PSMA3	ENSGALG00010017428	proteasome subunit alpha 3 [Source:NCBI gene (formerly Entrezgene);Acc:423542]
HSPA8	HSPA8	ENSGALG00010025592	heat shock 70kDa protein 8 [Source:NCBI gene (formerly Entrezgene);Acc:395853]
CCT2	CCT2	ENSGALG00010011871	chaperonin containing TCP1 subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:417846]
SYVN1	SYVN1	ENSGALG00010001304	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]
BAG2	BAG2	ENSGALG00010002342	BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]
PSMA2	PSMA2	ENSGALG00010007903	proteasome subunit alpha 2 [Source:NCBI gene (formerly Entrezgene);Acc:420772]
ATG16L1	ATG16L1	ENSGALG00010023002	autophagy related 16 like 1 [Source:HGNC Symbol;Acc:HGNC:21498]
ATG3	ATG3	ENSGALG00010005261	autophagy related 3 [Source:NCBI gene (formerly Entrezgene);Acc:418369]
DRAM2	DRAM2	ENSGALG00010024692	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]
CCT3	CCT3	ENSGALG00010028186	chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]
PSMD4	PSMD4	ENSGALG00010028600	proteasome 26S subunit, non-ATPase 4 [Source:NCBI gene (formerly Entrezgene);Acc:100216364]
PSMA6	PSMA6	ENSGALG00010006804	proteasome subunit alpha 6 [Source:NCBI gene (formerly Entrezgene);Acc:423326]
VDAC1	VDAC1	ENSGALG00010017393	voltage dependent anion channel 1 [Source:NCBI gene (formerly Entrezgene);Acc:416320]
PSMD10	PSMD10	ENSGALG00010015795	proteasome 26S subunit, non-ATPase 10 [Source:NCBI gene (formerly Entrezgene);Acc:422351]
ERP27	ERP27	ENSGALG00010012069	endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495]
UBE2D3	UBE2D3	ENSGALG00010016877	ubiquitin conjugating enzyme E2 D3 [Source:NCBI gene (formerly Entrezgene);Acc:422713]
STUB1	STUB1	ENSGALG00010018319	STIP1 homology and U-box containing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:426918]
PSMD2	PSMD2	ENSGALG00010015085	proteasome 26S subunit, non-ATPase 2 [Source:NCBI gene (formerly Entrezgene);Acc:425294]
SNX30	SNX30	ENSGALG00010007001	sorting nexin family member 30 [Source:HGNC Symbol;Acc:HGNC:23685]
SOD2	SOD2	ENSGALG00010006454	superoxide dismutase 2, mitochondrial [Source:NCBI gene (formerly Entrezgene);Acc:374042]
SIGMAR1	SIGMAR1	ENSGALG00010010671	sigma non-opioid intracellular receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:100859748]
RPN1	RPN1	ENSGALG00010027286	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]
VDAC2	VDAC2	ENSGALG00010022275	voltage dependent anion channel 2 [Source:NCBI gene (formerly Entrezgene);Acc:395498]
USP14	USP14	ENSGALG00010005033	ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]
SNX4	SNX4	ENSGALG00010020437	sorting nexin 4 [Source:HGNC Symbol;Acc:HGNC:11175]
MFN1	MFN1	ENSGALG00010018255	mitofusin 1 [Source:NCBI gene (formerly Entrezgene);Acc:424973]
STT3B	STT3B	ENSGALG00010002329	STT3B, catalytic subunit of the oligosaccharyltransferase complex [Source:NCBI gene (formerly Entrezgene);Acc:428444]
HDAC11	HDAC11	ENSGALG00010027988	histone deacetylase 11 [Source:NCBI gene (formerly Entrezgene);Acc:415978]
SEL1L3	SEL1L3	ENSGALG00010010857	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]
DNAJB11	DNAJB11	ENSGALG00010024597	DnaJ heat shock protein family (Hsp40) member B11 [Source:HGNC Symbol;Acc:HGNC:14889]
AHSA1	AHSA1	ENSGALG00010005335	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]
HSPD1	HSPD1	ENSGALG00010015069	heat shock protein family D (Hsp60) member 1 [Source:NCBI gene (formerly Entrezgene);Acc:424059]
TXNDC5	TXNDC5	ENSGALG00010010444	thioredoxin domain containing 5 [Source:NCBI gene (formerly Entrezgene);Acc:420867]
DAD1	DAD1	ENSGALG00010022066	defender against cell death 1 [Source:NCBI gene (formerly Entrezgene);Acc:395343]
PSMC5	PSMC5	ENSGALG00010026232	proteasome 26S subunit, ATPase 5 [Source:NCBI gene (formerly Entrezgene);Acc:428274]
HSF1	HSF1	ENSGALG00010009352	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]
PSMA7	PSMA7	ENSGALG00010022808	proteasome subunit alpha 7 [Source:NCBI gene (formerly Entrezgene);Acc:395318]
UGGT1	UGGT1	ENSGALG00010024148	UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]
TXNDC11	TXNDC11	ENSGALG00010020760	thioredoxin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28030]
RTCB	RTCB	ENSGALG00010015544	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:HGNC Symbol;Acc:HGNC:26935]
RPN2	RPN2	ENSGALG00010022438	ribophorin II [Source:NCBI gene (formerly Entrezgene);Acc:419177]
VCP	VCP	ENSGALG00010011335	valosin containing protein [Source:NCBI gene (formerly Entrezgene);Acc:427410]
PSMD1	PSMD1	ENSGALG00010015388	proteasome 26S subunit, non-ATPase 1 [Source:NCBI gene (formerly Entrezgene);Acc:424926]
PSMD3	PSMD3	ENSGALG00010024651	proteasome 26S subunit, non-ATPase 3 [Source:NCBI gene (formerly Entrezgene);Acc:426133]
PAAF1	PAAF1	ENSGALG00010002561	proteasomal ATPase associated factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:419061]
ATG13	ATG13	ENSGALG00010023064	autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091]
STT3A	STT3A	ENSGALG00010023837	STT3A, catalytic subunit of the oligosaccharyltransferase complex [Source:NCBI gene (formerly Entrezgene);Acc:100857165]
HSPA5	HSPA5	ENSGALG00010027969	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Source:NCBI gene (formerly Entrezgene);Acc:396487]
HSPA14	HSPA14	ENSGALG00010005964	heat shock protein family A (Hsp70) member 14 [Source:NCBI gene (formerly Entrezgene);Acc:418802]
HSPH1	HSPH1	ENSGALG00010006913	heat shock protein family H (Hsp110) member 1 [Source:NCBI gene (formerly Entrezgene);Acc:418917]
PSMB2	PSMB2	ENSGALG00010015046	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]
PSMF1	PSMF1	ENSGALG00010013709	proteasome inhibitor subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:430115]
PSMA1	PSMA1	ENSGALG00010023624	proteasome subunit alpha 1 [Source:NCBI gene (formerly Entrezgene);Acc:395874]
DNLZ	DNLZ	ENSGALG00010028169	DNL-type zinc finger [Source:HGNC Symbol;Acc:HGNC:33879]
DNAJC15	DNAJC15	ENSGALG00010003358	DnaJ heat shock protein family (Hsp40) member C15 [Source:NCBI gene (formerly Entrezgene);Acc:418838]
AGR2	AGR2	ENSGALG00010004377	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]
SIL1	SIL1	ENSGALG00010008380	SIL1 nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:24624]
WIPI2	WIPI2	ENSGALG00010021162	WD repeat domain, phosphoinositide interacting 2 [Source:NCBI gene (formerly Entrezgene);Acc:416481]
ERN1	ERN1	ENSGALG00010029610	endoplasmic reticulum to nucleus signaling 1 [Source:NCBI gene (formerly Entrezgene);Acc:417414]
PSMB1	PSMB1	ENSGALG00010007878	proteasome subunit beta 1 [Source:NCBI gene (formerly Entrezgene);Acc:421551]
BECN1	BECN1	ENSGALG00010022276	beclin 1 [Source:NCBI gene (formerly Entrezgene);Acc:420018]
SOD1	SOD1	ENSGALG00010011746	superoxide dismutase 1, soluble [Source:NCBI gene (formerly Entrezgene);Acc:395938]
DNAJA2	DNAJA2	ENSGALG00010023405	DnaJ heat shock protein family (Hsp40) member A2 [Source:NCBI gene (formerly Entrezgene);Acc:415744]
EIF2AK4	EIF2AK4	ENSGALG00010023319	eukaryotic translation initiation factor 2 alpha kinase 4 [Source:HGNC Symbol;Acc:HGNC:19687]
PSMG2	PSMG2	ENSGALG00010001188	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]
PSME4	PSME4	ENSGALG00010016938	proteasome activator subunit 4 [Source:NCBI gene (formerly Entrezgene);Acc:421218]
CUL1	CUL1	ENSGALG00010008300	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]
HSPB2	HSPB2	ENSGALG00010025210	heat shock protein family B (small) member 2 [Source:NCBI gene (formerly Entrezgene);Acc:414136]
ATG7	ATG7	ENSGALG00010027247	autophagy related 7 [Source:NCBI gene (formerly Entrezgene);Acc:415961]
DNAJC19	DNAJC19	ENSGALG00010016614	DnaJ heat shock protein family (Hsp40) member C19 [Source:HGNC Symbol;Acc:HGNC:30528]
PDIA5	PDIA5	ENSGALG00010021338	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]
PSMG1	PSMG1	ENSGALG00010013375	proteasome assembly chaperone 1 [Source:NCBI gene (formerly Entrezgene);Acc:418520]
HDAC10	HDAC10	ENSGALG00010001559	histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128]
CALR3	CALR3	ENSGALG00010027111	calreticulin 3 [Source:NCBI gene (formerly Entrezgene);Acc:420146]
UBB	UBB	ENSGALG00010029736 ENSGALG00010020990	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]
MAN1B1	MAN1B1	ENSGALG00010028049	mannosidase alpha class 1B member 1 [Source:HGNC Symbol;Acc:HGNC:6823]
MFN2	MFN2	ENSGALG00010017529	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]
AHSA2	AHSA2	ENSGALG00010019287	AHA1, activator of heat shock 90kDa  2 (yeast) [Source:NCBI gene (formerly Entrezgene);Acc:421194]
HSF4	HSF4	ENSGALG00010024703	heat shock transcription factor 4 [Source:NCBI gene (formerly Entrezgene);Acc:427540]
RUVBL1	RUVBL1	ENSGALG00010026951	RuvB like AAA ATPase 1 [Source:NCBI gene (formerly Entrezgene);Acc:416022]
PSMD13	PSMD13	ENSGALG00010020894	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]
XBP1	XBP1	ENSGALG00010023937	X-box binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:416918]
HDAC9	HDAC9	ENSGALG00010003764	histone deacetylase 9 [Source:NCBI gene (formerly Entrezgene);Acc:420599]
DNAJC3	DNAJC3	ENSGALG00010005356	DnaJ heat shock protein family (Hsp40) member C3 [Source:NCBI gene (formerly Entrezgene);Acc:418787]
ADRM1	ADRM1	ENSGALG00010022954	adhesion regulating molecule 1 [Source:NCBI gene (formerly Entrezgene);Acc:395365]
PSMD9	PSMD9	ENSGALG00010025387	proteasome 26S subunit, non-ATPase 9 [Source:NCBI gene (formerly Entrezgene);Acc:416853]
UBE2G2	UBE2G2	ENSGALG00010025553	ubiquitin conjugating enzyme E2 G2 [Source:NCBI gene (formerly Entrezgene);Acc:424837]
PSMD14	PSMD14	ENSGALG00010021086	proteasome 26S subunit, non-ATPase 14 [Source:NCBI gene (formerly Entrezgene);Acc:424189]
PPID	PPID	ENSGALG00010008825	peptidylprolyl isomerase D [Source:HGNC Symbol;Acc:HGNC:9257]
ATG14	ATG14	ENSGALG00010018501	autophagy related 14 [Source:HGNC Symbol;Acc:HGNC:19962]
DNAJC10	DNAJC10	ENSGALG00010022293	DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]
PDIA6	PDIA6	ENSGALG00010002609	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]
TMEM258	TMEM258	ENSGALG00010021199	transmembrane protein 258 [Source:NCBI gene (formerly Entrezgene);Acc:422964]
FKBP4	FKBP4	ENSGALG00010024793	FK506 binding protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:418261]
LONP2	LONP2	ENSGALG00010024230	lon peptidase 2, peroxisomal [Source:NCBI gene (formerly Entrezgene);Acc:415740]
PSMG4	PSMG4	ENSGALG00010011365	proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]
DERL3	DERL3	ENSGALG00010026005	derlin 3 [Source:NCBI gene (formerly Entrezgene);Acc:416934]
ULK1	ULK1	ENSGALG00010022850	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]
HSPE1	HSPE1	ENSGALG00010015092	heat shock protein family E (Hsp10) member 1 [Source:NCBI gene (formerly Entrezgene);Acc:395948]
HSCB	HSCB	ENSGALG00010023851	HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913]
LRRC10	LRRC10	ENSGALG00010014235	leucine rich repeat containing 10 [Source:HGNC Symbol;Acc:HGNC:20264]
EDEM1	EDEM1	ENSGALG00010021736	ER degradation enhancing alpha-mannosidase like protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:416110]
PSME3	PSME3	ENSGALG00010022317	proteasome activator subunit 3 [Source:NCBI gene (formerly Entrezgene);Acc:420017]
TMX3	TMX3	ENSGALG00010001203	thioredoxin related transmembrane protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:421027]
NFS1	NFS1	ENSGALG00010022230	NFS1, cysteine desulfurase [Source:NCBI gene (formerly Entrezgene);Acc:419133]
PSMB3	PSMB3	ENSGALG00010022122	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]
PSMC2	PSMC2	ENSGALG00010009643	proteasome 26S subunit, ATPase 2 [Source:NCBI gene (formerly Entrezgene);Acc:417716]
ERP44	ERP44	ENSGALG00010008319	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]
TXNDC12	TXNDC12	ENSGALG00010024836	thioredoxin domain containing 12 [Source:NCBI gene (formerly Entrezgene);Acc:772208]
GABARAPL1	GABARAPL1	ENSGALG00010024086	
HDAC7	HDAC7	ENSGALG00010023273	histone deacetylase 7 [Source:NCBI gene (formerly Entrezgene);Acc:426885]
FKBP5	FKBP5	ENSGALG00010026893	FK506 binding protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:421186]
PSMD7	PSMD7	ENSGALG00010008313	proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]
HDAC3	HDAC3	ENSGALG00010011478	histone deacetylase 3 [Source:NCBI gene (formerly Entrezgene);Acc:395506]
PTPN1	PTPN1	ENSGALG00010014474	protein tyrosine phosphatase non-receptor type 1 [Source:NCBI gene (formerly Entrezgene);Acc:395688]
EIF2AK1	EIF2AK1	ENSGALG00010021765	eukaryotic translation initiation factor 2 alpha kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:395360]
HSPB1	HSPB1	ENSGALG00010029612	heat shock protein family B (small) member 1 [Source:NCBI gene (formerly Entrezgene);Acc:396227]
YME1L1	YME1L1	ENSGALG00010005311	YME1 like 1 ATPase [Source:NCBI gene (formerly Entrezgene);Acc:428418]
DDOST	DDOST	ENSGALG00010021156	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:NCBI gene (formerly Entrezgene);Acc:425542]
CALR	CALR	ENSGALG00010003305	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]
EIF2AK2	EIF2AK2	ENSGALG00010007382	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:395147]
ATG4A	ATG4A	ENSGALG00010015782	autophagy related 4A cysteine peptidase [Source:NCBI gene (formerly Entrezgene);Acc:772074]
PSMD6	PSMD6	ENSGALG00010020179	proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]
EDEM3	EDEM3	ENSGALG00010011677	ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]
RB1CC1	RB1CC1	ENSGALG00010004085	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]
LONP1	LONP1	ENSGALG00010027614	
EIF2S1	EIF2S1	ENSGALG00010020008	eukaryotic translation initiation factor 2 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:423279]
UBE2J2	UBE2J2	ENSGALG00010016541	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]
ATG12	ATG12	ENSGALG00010009120	autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]
PSMA5	PSMA5	ENSGALG00010027709	proteasome subunit alpha 5 [Source:NCBI gene (formerly Entrezgene);Acc:426937]
FKBP8	FKBP8	ENSGALG00010027137	FK506 binding protein 8 [Source:NCBI gene (formerly Entrezgene);Acc:420123]
AGR3	AGR3	ENSGALG00010004391	anterior gradient 3, protein disulphide isomerase family member [Source:NCBI gene (formerly Entrezgene);Acc:420597]
