	species_name	species_abbreviation	abbreviation	taxonomy	ensembl_class	rRNA
384	Natronoarchaeum philippinense		archaea_41	archaea		OBEJ01000011
385	Halobaculum gomorrense		archaea_42	archaea		L37444
386	Halopiger xanaduensis DSM 18323 		archaea_43	archaea		AM268114
387	Candidatus Methanoplasma termitum		archaea_44	archaea		CP010070
388	Methanomethylovorans hollandica DSM 15978 		archaea_45	archaea		CP003362
389	Halobacterium sp DL1		archaea_46	archaea		CP007060
390	Halobacterium jilantaiense		archaea_47	archaea		AB663359
391	Methanoculleus taiwanensis		archaea_48	archaea		LHQS01000005
392	Halorubrum vacuolatum Natronobacterium vacuolatum		archaea_49	archaea		D87972
393	Halorubrum halodurans		archaea_50	archaea		NHPJ01000020
394	Halopenitus malekzadehii		archaea_51	archaea		FNWU01000002
395	Halophilic archaeon DL31		archaea_52	archaea		CP002988
396	Halococcus morrhuae DSM 1307		archaea_53	archaea		D11106
397	Halarchaeum acidiphilum MH1-52-1		archaea_54	archaea		BATA01000133
398	Halococcus saccharolyticus DSM 5350		archaea_55	archaea		AB004876
399	Thermogymnomonas acidicola		archaea_56	archaea		BMNY01000001
400	Methanosphaera sp BMS		archaea_57	archaea		CP014213
401	Picrophilus torridus ATCC 700027 		archaea_58	archaea		AE017261
402	Methanomethylophilus alvus Mx1201		archaea_59	archaea		CP004049
403	Acidiplasma cupricumulans		archaea_60	archaea		LKBH01000298
404	Thermoplasmatales archaeon BRNA1		archaea_61	archaea		CP002916
